Model Name,ID,Model Used,dakota_moat_seed,ready,dt,K_sp_exp,K_ss_exp,K_stochastic_sp_exp,K_stochastic_ss_exp,climate_factor,climate_constant_date,m_sp,n_sp,K_rock_sp_exp,K_rock_ss_exp,K_sed_sp_exp,K_sed_ss_exp,K_till_sp_exp,K_till_ss_exp,K_sed_stochastic_exp,K_rock_stochastic_exp,erosion__threshold_exp,rock_erosion__threshold_exp,sed_erosion__threshold_exp,till_erosion__threshold_exp,thresh_change_per_depth,thresh_change_per_depth_rock,thresh_change_per_depth_till,thresh_change_per_depth_sed,contact_zone__width,v_s_exp,v_sc_exp,F_f,phi,H_star,linear_diffusivity_exp,soil_transport_decay_depth,initial_soil_thickness,max_soil_production_rate,soil_production_decay_depth,slope_crit,recharge_rate,mean_storm__intensity,intermittency_factor,infiltration_capacity,number_of_sub_time_steps,precip_shape_factor,random_seed,hydraulic_roughness,b ,M_soil_water_storage,K_hydraulic_conductivity,Hc_characteristic_water_depth
Basic,0,Basic,1414,TRUE,10,-4.25,na,na,na,na,na,0.5,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-2.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
BasicVm,1,Basic,1007,TRUE,10,-4.25,na,na,na,na,na,0.5,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-2.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
BasicTh,2,BasicTh,3990,TRUE,10,-4.25,na,na,na,na,na,0.5,1,na,na,na,na,na,na,na,na,-5.99,na,na,na,na,na,na,na,na,na,na,na,na,na,-2.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
BasicSs,4,Basic,1837,TRUE,10,na,-4,na,na,na,na,0.333,0.667,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-2.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
BasicDd,8,BasicDd,4626,TRUE,10,-4.25,na,na,na,na,na,0.5,1,na,na,na,na,na,na,na,na,-5.99,na,na,na,0.001,na,na,na,na,na,na,na,na,na,-2.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
BasicHy,10,BasicHy,3253,TRUE,10,-4.25,na,na,na,na,na,0.5,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-3.3,0.1,0.3,na,-2.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
BasicThHy,12,BasicThHy,4767,TRUE,10,-4.25,na,na,na,na,na,0.5,1,na,na,na,na,na,na,na,na,-5.99,na,na,na,na,na,na,na,na,na,-3.3,0.1,0.3,na,-2.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
BasicSsHy,14,BasicHy,7543,TRUE,10,na,-4,na,na,na,na,0.333,0.667,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-3.3,0.1,0.3,na,-2.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
BasicDdHy,18,BasicDdHy,7468,TRUE,10,-4.25,na,na,na,na,na,0.5,1,na,na,na,na,na,na,na,na,-5.99,na,na,na,10,na,na,na,na,na,-3.3,0.1,0.3,ha,-2.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
BasicHyFi,30,BasicHy,2532,TRUE,10,-4.25,na,na,na,na,na,0.5,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-3.3,0.99,0.3,na,-2.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
